,Genre,Description
29,Archaeology,"Archaeology, or archeology (from Greek ἀρχαιολογία, archaiologia – ἀρχαῖος, arkhaīos, ""ancient""; and -λογία, -logiā, ""-logy""), is the study of human activity through the recovery and analysis of material culture and environmental data which they have left behind, which includes artefacts, architecture, biofacts and cultural landscapes (the archaeological record). The archaeological record consists of artifacts, architecture, biofacts or ecofacts, and cultural landscapes. Archaeologists study human prehistory  and history. In the United States it is thought of as a branch of anthropology, althoArchaeology, or archeology (from Greek ἀρχαιολογία, archaiologia – ἀρχαῖος, arkhaīos, ""ancient""; and -λογία, -logiā, ""-logy""), is the study of human activity through the recovery and analysis of material culture and environmental data which they have left behind, which includes artefacts, architecture, biofacts and cultural landscapes (the archaeological record). The archaeological record consists of artifacts, architecture, biofacts or ecofacts, and cultural landscapes. Archaeologists study human prehistory  and history. In the United States it is thought of as a branch of anthropology, although in Europe it is viewed as a separate discipline.Archaeology studies human history from the development of the first stone tools in eastern Africa 3.4 million years ago up until recent decades. It is of most importance for learning about prehistoric societies, when there are no written records for historians to study, and which makes up over 99% of total human history, from the Palaeolithic until the advent of literacy in any given society. Archaeology has various different goals, which range from studying human evolution to cultural evolution and understanding culture history.The discipline involves surveying, excavation and eventually analysis of data collected to learn more about the past. In broad scope, archaeology relies on cross-disciplinary research. It draws upon anthropology, history, art history, classics, ethnology, geography, geology, linguistics, physics, information sciences, chemistry, statistics, palaeoecology, palaeontology, palaeozoology, palaeoethnobotany, and palaeobotany.Archaeology developed out of antiquarianism in Europe during the 19th century, and has since become a discipline practised across the world. Since its early development, various specific sub-disciplines of archaeology have developed, including maritime archaeology, feminist archaeology and archaeoastronomy, and numerous different scientific techniques have been developed to aid archaeological investigation. Nonetheless, today, archaeologists face many problems, ranging from dealing with pseudoarchaeology to the looting of artefacts and opposition to the excavation of human remains....more"
30,Architecture,"Architecture (Latin architectura, from the Greek ἀρχιτέκτων – arkhitekton, from ἀρχι- ""chief"" and τέκτων ""builder, carpenter, mason"") is both the process and product of planning, designing, and construction, usually of buildings and other physical structures. Architectural works, in the material form of buildings, are often perceived as cultural symbols and as works of art. Historical civilizations are often identified with their surviving architectural achievements.Architecture (Latin architectura, from the Greek ἀρχιτέκτων – arkhitekton, from ἀρχι- ""chief"" and τέκτων ""builder, carpenter, mason"") is both the process and product of planning, designing, and construction, usually of buildings and other physical structures. Architectural works, in the material form of buildings, are often perceived as cultural symbols and as works of art. Historical civilizations are often identified with their surviving architectural achievements....more"
31,Art,Books that showcase particular types of art.
32,Art Design,"See also design, more generally.See also design, more generally....more"
33,Art History,"The history of art refers to the history of the visual arts including painting, sculpture and architecture. Considered encyclopedically, the history of art is an attempt to survey art throughout human history, classifying cultures and periods by their distinguishing features. This is undertaken by people and institutions with diverging goals, but whose efforts interrelate, including: academic art historians, museum curators, auction house personnel, private collectors, and religious adherents. Given these agendas, it is unsurprising that there are many ways of structuring a history of art, as The history of art refers to the history of the visual arts including painting, sculpture and architecture. Considered encyclopedically, the history of art is an attempt to survey art throughout human history, classifying cultures and periods by their distinguishing features. This is undertaken by people and institutions with diverging goals, but whose efforts interrelate, including: academic art historians, museum curators, auction house personnel, private collectors, and religious adherents. Given these agendas, it is unsurprising that there are many ways of structuring a history of art, as will be outlined below....more"
34,Asia,"Books that are set in Asia. Some popular settings for Asian books are China, India, Indonesia, Pakistan, Bangladesh, Japan, Phillipines, Vietnam, Iran, and Thailand"
35,Asian Literature,Asian literature is the literature produced by writers in Asia. Or by Asian American writers.
36,Astronomy,"Astronomy is a natural science which is the study of celestial objects (such as stars, galaxies, planets, moons, and nebulae), the physics, chemistry, and evolution of such objects, and phenomena that originate outside the atmosphere of Earth, including supernovae explosions, gamma ray bursts, and cosmic microwave background radiation. A related but distinct subject, cosmology, is concerned with studying the universe as a whole."
37,Audiobook,"An audiobook is a recording of text. Audiobooks are available in a variety of lengths and formats, most popularly through digital download, which allows people to listen on any smart device. Spoken audio was first made available in the 1930s on vinyl records and has seen a resurgence in recent years with the proliferation of smartphones and other portable devices. As the medium has gained listeners—with people looking to read while driving, exercising, cleaning house and more—it has expanded past recordings of published books to work crafted exclusively for audio. Numerous best-selling writersAn audiobook is a recording of text. Audiobooks are available in a variety of lengths and formats, most popularly through digital download, which allows people to listen on any smart device. Spoken audio was first made available in the 1930s on vinyl records and has seen a resurgence in recent years with the proliferation of smartphones and other portable devices. As the medium has gained listeners—with people looking to read while driving, exercising, cleaning house and more—it has expanded past recordings of published books to work crafted exclusively for audio. Numerous best-selling writers and celebrity performers are now creating for the medium. Audiobooks and other audio entertainment are available in schools and libraries and on numerous apps and online marketplaces. ...more"
38,Australia,"Australia (/ɒˈstreɪliə/, /ə-/, colloquially /-jə/), officially known as the Commonwealth of Australia, is an Oceanian country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands. It is the world's sixth-largest country by total area.Australia (/ɒˈstreɪliə/, /ə-/, colloquially /-jə/), officially known as the Commonwealth of Australia, is an Oceanian country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands. It is the world's sixth-largest country by total area....more"
39,Autistic Spectrum Disorder,"Autism (or Autistic) Spectrum Disorder - ASD - is a developmental disorder that affects communication and behavior. Although autism can be diagnosed at any age, it is said to be a “developmental disorder” because symptoms generally appear in the first two years of life.Autism is known as a “spectrum” disorder because there is wide variation in the type and severity of symptoms people experience and display dependant on circumstances. ASD occurs in all ethnic, racial, and economic groups. Although ASD can be a lifelong disorder, treatments and services can improve a person’s symptoms and abilitAutism (or Autistic) Spectrum Disorder - ASD - is a developmental disorder that affects communication and behavior. Although autism can be diagnosed at any age, it is said to be a “developmental disorder” because symptoms generally appear in the first two years of life.Autism is known as a “spectrum” disorder because there is wide variation in the type and severity of symptoms people experience and display dependant on circumstances. ASD occurs in all ethnic, racial, and economic groups. Although ASD can be a lifelong disorder, treatments and services can improve a person’s symptoms and ability to function. ...more"
40,Autobiography,"An autobiography (from the Greek, αὐτός-autos self + βίος-bios life + γράφειν-graphein to write) is a book about the life of a person, written by that person.Closely associated with autobiography (and sometimes difficult to precisely distinguish from it) is the form of memoir. However, an autobiography typically focuses on the ""life and times"" of the writer, while a memoir has a narrower, more intimate focus on his or her own memories, feelings and emotions.Also see Biography Memoir and Memoir.An autobiography (from the Greek, αὐτός-autos self + βίος-bios life + γράφειν-graphein to write) is a book about the life of a person, written by that person.Closely associated with autobiography (and sometimes difficult to precisely distinguish from it) is the form of memoir. However, an autobiography typically focuses on the ""life and times"" of the writer, while a memoir has a narrower, more intimate focus on his or her own memories, feelings and emotions.Also see Biography Memoir and Memoir....more"
41,Aviation,"Aviation is the practical aspect or art of aeronautics, being the design, development, production, operation and use of aircraft, especially heavier than air aircraft. The word aviation was coined by French writer and former naval officer Gabriel La Landelle in 1863, from the verb avier (synonymous flying), itself derived from the Latin word avis (""bird"") and the suffix -ation.Also see Aircraft and Aviation History.Aviation is the practical aspect or art of aeronautics, being the design, development, production, operation and use of aircraft, especially heavier than air aircraft. The word aviation was coined by French writer and former naval officer Gabriel La Landelle in 1863, from the verb avier (synonymous flying), itself derived from the Latin word avis (""bird"") and the suffix -ation.Also see Aircraft and Aviation History....more"
42,Aviation History,"The history of aviation has extended over more than two thousand years, from the earliest forms of aviation, kites and attempts at tower jumping, to supersonic, and hypersonic flight by powered, heavier-than-air jets.See AviationThe history of aviation has extended over more than two thousand years, from the earliest forms of aviation, kites and attempts at tower jumping, to supersonic, and hypersonic flight by powered, heavier-than-air jets.See Aviation...more"
43,BDSM,"BDSM is a type of adult roleplay between two or more individuals. The compound acronym, BDSM, is derived from the terms bondage and discipline (B&D), dominance and submission (D&S), and sadism and masochism (S&M). "
44,Bande Dessinée,"La bande dessinée (BD ou bédé) est un art, souvent désigné comme le « neuvième art » d’après une série d’articles Neuvième Art, musée de la bande dessinée parue sous la signature de Morris dans le Journal de Spirou entre 1964 et 1967.La bande dessinée est aussi un medium, véhiculant le neuvième art et le matérialisant au travers d’un ensemble sémiotique et iconique défini. Il permet de raconter des histoires au moyen d’un enchaînement signifiant de dessins. Selon Will Eisner, « actuellement, la bande dessinée constitue la principale application de l'art séquentiel au support papier ».La bande dessinée (BD ou bédé) est un art, souvent désigné comme le « neuvième art » d’après une série d’articles Neuvième Art, musée de la bande dessinée parue sous la signature de Morris dans le Journal de Spirou entre 1964 et 1967.La bande dessinée est aussi un medium, véhiculant le neuvième art et le matérialisant au travers d’un ensemble sémiotique et iconique défini. Il permet de raconter des histoires au moyen d’un enchaînement signifiant de dessins. Selon Will Eisner, « actuellement, la bande dessinée constitue la principale application de l'art séquentiel au support papier »....more"
45,Banned Books,"A banned book is one that has been removed from the shelves of a library, bookstore, or classroom because of its controversial content. In some cases, banned books of the past have been burned and/or refused publication. Possession of banned books has at times been regarded as an act of treason or heresy, which was punishable by death, torture, prison time, or other acts of retribution. Since there is a large number of banned books, some publishers have specialized in them. Books are still banned in the 2010s. Nowhere in the world can everything be published, although the prohibitions vary strA banned book is one that has been removed from the shelves of a library, bookstore, or classroom because of its controversial content. In some cases, banned books of the past have been burned and/or refused publication. Possession of banned books has at times been regarded as an act of treason or heresy, which was punishable by death, torture, prison time, or other acts of retribution. Since there is a large number of banned books, some publishers have specialized in them. Books are still banned in the 2010s. Nowhere in the world can everything be published, although the prohibitions vary strikingly from one country to another: hate speech, for example, is prohibited in a number of countries, such as Sweden, though the same books may be legal in the United States or United Kingdom, where the only prohibition is on child pornography. Some believe that the banning of specific books is appropriate, such as the anti-Semitic Protocols of the Elders of Zion, in Russia, or Hitler's Mein Kampf, in Austria.Libraries sometimes avoid purchasing controversial books, and the personal opinions of librarians have at times impacted book selection....more"
46,Baseball,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding. It is one of the most widely played sports in the world.
47,Basketball,Basketball is a sport played by two teams of five players on a rectangular court. The objective is to shoot a ball through a hoop 18 inches (46 cm) in diameter and 10 feet (3.048 m) high mounted to a backboard at each end.
48,Beach Reads,NULL
49,Beading,"Beadwork is the art or craft of attaching beads to one another by stringing them with a sewing needle or beading needle and thread or thin wire, or sewing them to cloth."
50,Biblical,"Relating to the bible, usually non-fiction texts."
51,Bicycles,"A bicycle is a human-powered, pedal-driven vehicle, first developed in the 19th century and remaining a popular form of transportation and sport today."
52,Biography,"A biography (from the Greek words bios meaning ""life"", and graphos meaning ""write"") is a non-fictional account of a person's life. Biographies are written by an author who is not the subject/focus of the book. See also:AutobiographyMemoirA biography (from the Greek words bios meaning ""life"", and graphos meaning ""write"") is a non-fictional account of a person's life. Biographies are written by an author who is not the subject/focus of the book. See also:AutobiographyMemoir...more"
53,Biography Memoir,NULL
54,Biology,"Biology is a natural science concerned with the study of life and living organisms, including their structure, function, growth, evolution, distribution, and taxonomy.See also Science.Biology is a natural science concerned with the study of life and living organisms, including their structure, function, growth, evolution, distribution, and taxonomy.See also Science....more"
55,Book Club,NULL
56,Books About Books,"Books about: other books, literacy in general, writers, bookstores, literary culture. Usually non-fiction, but can be fiction as long as books are a central plot theme."
57,British Literature,"English literature is the literature written in the English language, including literature composed in English by writers not necessarily from England; for example, Robert Burns was Scottish, James Joyce was Irish, Joseph Conrad was born in Poland, Dylan Thomas was Welsh, Edgar Allan Poe was American, V.S. Naipaul was born in Trinidad, and Vladimir Nabokov was Russian, but all are considered important writers in the history of English literature. In other words, English literature is as diverse as the varieties and dialects of English spoken around the world. In academia, the term often labelsEnglish literature is the literature written in the English language, including literature composed in English by writers not necessarily from England; for example, Robert Burns was Scottish, James Joyce was Irish, Joseph Conrad was born in Poland, Dylan Thomas was Welsh, Edgar Allan Poe was American, V.S. Naipaul was born in Trinidad, and Vladimir Nabokov was Russian, but all are considered important writers in the history of English literature. In other words, English literature is as diverse as the varieties and dialects of English spoken around the world. In academia, the term often labels departments and programmes practising English studies in secondary and tertiary educational systems. Despite the variety of authors of English literature, the works of William Shakespeare remain paramount throughout the English-speaking world....more"
58,Buddhism,"Buddhism is a nontheistic religion that encompasses a variety of traditions, beliefs and practices largely based on teachings attributed to Siddhartha Gautama, who is commonly known as the Buddha, meaning ""the awakened one"". According to Buddhist tradition, the Buddha lived and taught in the eastern part of the Indian subcontinent sometime between the 6th and 4th centuries BCE. He is recognized by Buddhists as an awakened or enlightened teacher who shared his insights to help sentient beings end their suffering through the elimination of ignorance and craving by way of understanding and the seBuddhism is a nontheistic religion that encompasses a variety of traditions, beliefs and practices largely based on teachings attributed to Siddhartha Gautama, who is commonly known as the Buddha, meaning ""the awakened one"". According to Buddhist tradition, the Buddha lived and taught in the eastern part of the Indian subcontinent sometime between the 6th and 4th centuries BCE. He is recognized by Buddhists as an awakened or enlightened teacher who shared his insights to help sentient beings end their suffering through the elimination of ignorance and craving by way of understanding and the seeing of dependent origination, with the ultimate goal of attainment of the sublime state of nirvana....more"
59,Buisness,"A business (also known as enterprise or firm) is an organization engaged in the trade of goods, services, or both to consumers. Businesses are predominant in capitalist economies, where most of them are privately owned and administered to earn profit to increase the wealth of their owners. Businesses may also be not-for-profit or state-owned. A business owned by multiple individuals may be referred to as a company, although that term also has a more precise meaning."
60,Business,"A business (also known as enterprise or firm) is an organization engaged in the trade of goods, services, or both to consumers. Businesses are predominant in capitalist economies, where most of them are privately owned and administered to earn profit to increase the wealth of their owners. Businesses may also be not-for-profit or state-owned. A business owned by multiple individuals may be referred to as a company, although that term also has a more precise meaning."
61,Canada,Books that are set in Canada.
62,Catholic,"Catholicism (from Greek καθολικισμός, katholikismos, ""universal doctrine"") and its adjectival form Catholic are used as broad terms for describing specific traditions in the Christian churches in theology, doctrine, liturgy, ethics, and spirituality.Catholicism (from Greek καθολικισμός, katholikismos, ""universal doctrine"") and its adjectival form Catholic are used as broad terms for describing specific traditions in the Christian churches in theology, doctrine, liturgy, ethics, and spirituality....more"
63,Cats,"Can refer to the domestic or wild breed of cats.Because of their close relationships with humans, domestic cats have appeared in the folklore of many cultures and are popular characters in fiction. Non-fiction includes memoirs by pet owners and advice for raising cats.See also lions, tigers, leopards, and cheetahs.Can refer to the domestic or wild breed of cats.Because of their close relationships with humans, domestic cats have appeared in the folklore of many cultures and are popular characters in fiction. Non-fiction includes memoirs by pet owners and advice for raising cats.See also lions, tigers, leopards, and cheetahs....more"
64,Celebrity,NULL
65,Chapter Books,"A chapter book is a story book intended for intermediate readers, generally age 7-10.Unlike picture books for younger readers, a chapter book tells the story primarily through prose, rather than pictures. Unlike books for older readers, chapter books contain plentiful illustrations. The name refers to the fact that the stories are usually divided into short chapters, which provide children with opportunities to stop and resume reading if their attention spans are not long enough to finish the book in one sitting. Chapter books are usually works of fiction of moderate length and complexity."
66,Chemistry,"Chemistry, a branch of physical science, is the study of the composition, structure, properties and change of matter."
