,First Name,Last Name,About Author
11,Francis,Ledoux,
12,Maria,Skibniewska,
13,Alan, Lee,"Alan Lee is an English book illustrator and movie conceptual designer. He was born on 20 August 1947 in Middlesex, England and studied at the Ealing School of Art, specialising in illustration, and has illustrated a wide range of books, including Faeries (with Brian Froud), The Mabinogion, Castles, Merlin Dreams, The Black Ships of Troy and The Wanderings of Oysseus.He is best known for his award winning work on The Lord of The Rings by J.R.R. Tolkien - having done illustration work for both the books and the Peter Jackson directed movies. As of 2011, he is working on The Hobbit movies, based on Tolkien's book, again directed by Peter Jackson.Tolkien's work has inspired him ever since he read his books at an early age. Alan Lee is also inspired by nature, myth, legends and Folklore.Alan Lee draws a lot of inspiration from nature around in which he lives - he lives and works on the edge of Dartmoor, in Devon, England.Recommended articles:* http://www.endicott-studio.com/gal/ga....* http://gaytonvanryn.blogspot.com/2011... and http://gaytonvanryn.blogspot.com/2011....His artistic influences include:""I've been strongly influenced, in technique as well as subject matter, by some of the early 20th-century book illustrators — Arthur Rackham and Edmund Dulac in particular, Burne-Jones and other Pre-Raphaelites, and the Arts-&-Crafts movement they engendered. I'm continually inspired by Rembrandt, Breughel (I've wondered whether his brilliant ""Tower of Babel"" had inspired Tolkien's description of Minas Tyrith), Hieronymous Bosch, Albrecht Durer, and Turner; it's not necessarily that they influence my work in any particular direction, more that their example raises my spirits, re-affirms my belief in the power of images to move and delight us, and shows me how much further I have to go, how much is possible. Having visited Venice and Florence for the first time, I am besotted with the Italian Renaissance artists — Botticelli, Bellini, da Vinci and others. Their work is calm, controlled, and yet each face and landscape contains such passion."" - Alan Leefan homepage:http://alan-lee.narod.ru/Bio.htm"
14,Chris,  Smith,"Librarian Note: There is more than one author in the Goodreads database with this name.Chris Smith (1964) is the Tolkien editor of HarperCollins, since 1999. He edited several books about Peter Jackson's films by Gary Russell and Jude Fisher, but is most famous for The Lord of the Rings: Weapons and Warfare, a book containing a lot of information about the weaponry used in Peter Jackson's films."
15,Christopher, Lee,
16,Richard,Taylor,"Richard Taylor is a professor of English and currently serves as Kenan Visiting Writer at Transylvania University. A former Kentucky poet laureate, he is the author of six collections of poetry, two novels, and several books of non-fiction, mostly relating to Kentucky history. A former dean and teacher in the Governor's Scholars Program, he was selected as Distinguished Professor at Kentucky State University in 1992. He has won two creative writing fellowships from the National Endowment for the Arts and an Al Smith Creative Writing Award from the Kentucky Arts Council. He and his wife Lizz own Poor Richard's Books in Frankfort, Kentucky."
17,Jane,Johnson,"Jane Johnson is an English writer of books for adults and children and fiction book editor. As a writer she has used the pseudonyms Gabriel King, jointly with M. John Harrison, and Jude Fisher, as well as her real name."
18,Jude,Fisher, Pseudonym of  Jane Johnson.
19,Brian,Sibley,"Brian Sibley is an English author who has written over 100 hours of radio drama and has written and presented hundreds of radio documentaries, features and weekly programmes.In 1981, he co-wrote BBC Radio 4's adaptation of Tolkien's 
The Lord of the Rings
 with Michael Bakewell, and has also adapted C. S. Lewis's The Chronicles of Narnia and Mervyn Peake's Gormenghast for Radio 4, for which he received a Sony Radio Award in 1985.As a broadcaster, he was a contributor to and then regular presenter of the former BBC Radio 4 arts programme Kaleidoscope and the BBC World Service arts magazine, Meridian. He also presented the Radio 4 film programme, Talking Pictures and chaired the radio panel games Break A Leg and Screen Test, and presented several seasons of the BBC television programme, First Light.The Daily Telegraph radio critic, Gillian Reynolds gave him the accolade ""magician of the airwaves""."
20,Michael,Bakewell,"Michael Bakewell is a British television producer. He has also worked in radio drama, including adapting The Lord of the Rings into a 1981 radio series for the BBC and a series of 27 adaptations of Agatha Christie's Hercule Poirot stories broadcast between 1985 and 2007 by BBC Radio 4.Source: Wikipedia"
21,James,Hamilton-Paterson,
22,Dave,        Thomas,
23,David,Heinemeier Hansson,
24,Leon,Breedt,
25,Mike,  Clark,"Librarian Note: There is more than one author in the Goodreads database with this name. Please see: Mike ClarkMike Clark is an author, speaker, consultant, and most importantly, he's a programmer. He is co-author of Bitter EJB (Manning), editor of the JUnit FAQ, and frequent speaker at software development conferences. Mike has been crafting software professionally since 1992 in the fields of aerospace, telecommunications, financial services, and the Internet. In addition to helping develop commercial software tools, Mike is the creator of several popular open-source tools including JUnitPerf and JDepend."
26,Thomas, Fuchs,"There is more than one author with this Name.Thomas Fuchs is a software architect from Vienna, Austria. He's been building web applications since 1996. Thomas is the author of script.aculo.us, a cross-browser JavaScript framework featuring advanced Ajax UI controls, visual effects and other niceties, and a core development team member of the influential Ruby on Rails web development framework. He's also a contributor to Prototype, an object-oriented Ajax/JavaScript framework.He wrote the ""Web 2.0"" chapter on Ajax development with Rails for the best-selling Agile Web Development with Rails (Pragmatic Programmers) book.Next to writing about web application development on his blog mir.aculo.us, he currently is busy building fluxiom, an ajaxy web application, as a member of wollzelle, a Viennese design and programming shop."
27,Andreas,Schwarz,
28,Mark,  Watson,
29,Edith,Wharton,"Edith Wharton was an American writer and designer. Wharton drew upon her insider's knowledge of the upper-class New York ""aristocracy"" to portray, realistically, the lives and morals of the Gilded Age. In 1921, she became the first woman to win the Pulitzer Prize in Fiction, for her novel, The Age of Innocence. She was inducted into the National Women's Hall of Fame, in 1996. Her other well-known works are The House of Mirth, the novella Ethan Frome, and several notable ghost stories."
30,Marion,Mainwaring,"Marion Mainwaring is an American writer, translator, and critic.Mainwaring is best known as the author who completed Edith Wharton's novel The Buccaneers, published in 1993. She earlier assisted R. W. B. Lewis in researching his Pulitzer- and Bancroft-prize-winning 1976 biography of Wharton. A novelist in her own right, she wrote the novel Murder in Pastiche: or Nine Detectives All at Sea (1954), parodying nine famous fictional detectives, and Murder at Midyears (1953). She translated Youth and Age: Three Novellas by Ivan Turgenev and edited The Portrait Game, records of a parlor game played by Turgenev and his friends. Her most recent work is Mysteries of Paris: The Quest for Morton Fullerton (2001), a biography of Wharton's lover.Wikipedia"
31,Luther,Butler,"http://search.barnesandnoble.com/book...Luther Butler lives in Stephenville, Texas. He has been married to Jo Branton Butler for fifty years. They have one son. While in the Navy for two years he contacted polio and was sent to Bethesda Naval Hospital where he was used for a LSD experiment. Discharged honorably from service after almost three years he earned a BD degree to go with his BA from Eastern New Mexico and then an MA in English from Tarleton State University. In 1985 after being seriously hurt he retired from the Texas Department of Agriculture. Barely able to walk and with his vision severely damaged he began to write. His first novel, Preacher, was reviewed by Library Journal for having twenty-one novels published. Texas Christian University used the Preacher in a novels course as did several colleges in St Louis, Missouri. He has been listed in Who's Who for several years. His love for writing continues.Home pagehttp://lutherbutler.tripod.com/Poetry by Luther Butlerhttp://lutherbutlerspoetry.tripod.com/Growing up on a sheep ranch in Coloradohttp://lbutlerlaplata.blogspot.com/http://www.blogger.com/profile/2238007Trip to Mexico down Bajahttp://www.mexconnect.com/mex_/travel..."
32,Gary,Paulsen,"Gary James Paulsen was an American writer of children's and young adult fiction, best known for coming-of-age stories about the wilderness. He was the author of more than 200 books and wrote more than 200 magazine articles and short stories, and several plays, all primarily for teenagers. He won the Margaret Edwards Award from the American Library Association in 1997 for his lifetime contribution in writing for teens."
33,Donna,Ickes,
34,Edward,Sciranko,
35,Keith,Vasconcelles,
36,Molly,Hatchet,"Molly Hatchet is an American Southern rock/hard rock band formed in Jacksonville, Florida, in 1975. They are best known for their hit song ""Flirtin' with Disaster"" from the album of the same title. The band, founded by Dave Hlubek and Steve Holland, took its name from a prostitute who allegedly mutilated and decapitated her clients. Most of Molly Hatchet album covers feature heroic fantasy inspired art, some of which were painted by artists Frank Frazetta, Boris Vallejo and Paul R. Gregory.Wikipedia"
37,Dale,Peck,"Dale Peck (born 1967 on Long Island, New York) is an American novelist, critic, and columnist. His 2009 novel, Sprout, won the Lambda Literary Award for LGBT Children's/Young Adult literature, and was a finalist for the Stonewall Book Award in the Children's and Young Adult Literature category."
38,Bud,Cheff Sr.,
39,Angela,Knight,
40,Kate,Douglas,"Some people just seem to know they are meant to write, but it can still take a while to figure out exactly what their career will entail. Kate Douglas started out writing radio copy for a country western radio station in 1972, wrote and illustrated an educational cartoon strip for the American Mosquito Control Association for a number of years, was a newspaper reporter for a small town weekly where she covered everything from high school sports to drug busts, and then, in the mid-1980s, decided to write her first romance. Many submissions and rejections followed.In 1998, she sold to a small ebook publisher before anyone knew what an ebook was, but it wasn't until 2005, a full twenty years after finishing that first romance, that she signed with a New York publisher.In January 2006, Kensington Publishing launched their Aphrodisia imprint of erotic romance with Kate's Wolf Tales, a sexy paranormal series about a lost race of shapeshifters. She went on to write 21 novels and novellas in that series, then wrote three other series for Kensington before moving to St. Martin's Press.She has two series with SMP--The Intimate Relations series complete with three novels and one novella of romantic suspense set in California's wine country, and an erotic paranormal series, Feral Passions, set in California's Trinity Alps.She is also continuing her Spirit Wild series, the sequel to Wolf Tales, independently.Kate and her husband of over forty-five years have two adult children and six grandchildren. They live in the small town of Healdsburg, California, in the heart of the beautiful Sonoma County wine country. www.katedouglas.com and www.katedouglas.com/eroticromance for full chapter excerpts of all of Kate's books. You can find Kate on Facebook at www.facebook.com/katedouglas.authorpage or on Twitter @wolftales"
41,Shelby,Morgen,"Shelby loves writing off-beat tales that defy as many rules as possible. She likes chocolate with her peanut butter, Suspense with her Romance, and kink with her sex. She’s always had a hard time keeping Science Fiction, Fantasy, and Paranormal from mixing with her kink. Fortunately for Shelby, electronic publishing has opened many new doors for cross-genre authors and artists.When you can catch her awake and not buried up to her eyebrows in work, Shelby will assure you this is the best job in the world -- she’s the keeper of dreams. https://changelingpress.comhttps://www.facebook.com/changelingpr..."
42,Kate, Hill,
43,Sahara,Kelly,"I'm really rather boring... Honestly. I live a pretty hum-drum life as a wife and mother. I shop at the local supermarket and use coupons now and again. See? Boring stuff.I live in Virginia now, so I am learning all kinds of new things - such as being able to buy beer and wine along with bread and toothpaste. Wow!Having been born and raised in England, I do possess a well-developed feel for the English countryside. Comes in handy for those Regency tales.Even though I was transplanted over to the US side of the Atlantic, I still have ties to all things Brit. I bake sausage rolls and make Christmas pudding. You can take the girl out of England, but not England out of the girl, I guess.I'm not sure anyone can write really well unless they read. A lot. I read anything and everything these days. And mostly on my couch with a book on my knees. Yes, the technology is out there for electronic versions, but there's not much to compare with a shiny new hardcover from a favorite author. "
44,Judy,Mays,
45,Marteeka,Karland,"Erotic romance author by night, emergency room tech/clerk by day, Marteeka Karland works really hard to drive everyone in her life completely and totally nuts. She has been creating stories from her warped imagination since she was in the third grade. Her love of writing blossomed throughout her teenage years until it developed into the totally unorthodox and irreverent style her English teachers tried hard to rid her of.Want to see what’s up with Marteeka? Check out her website at www.marteekakarland.com. Marteeka always welcomes e-mail from her readers. You can reach her at mkarland@gmail.com."
46,Willa,Okati,"Willa Okati (AKA Will, AKA Daniel) is made of many things: imagination, coffee, stray cat hairs, daydreams, more coffee, kitchen experimentation, a passion for winter weather, a little more coffee, a whole lot of flowering plants and a lifelong love of storytelling. Will's definitely one of the quiet ones you have to watch out for, though he -- not she anymore -- is a lot less quiet these days."
47,Lacey,Savage,"Award-winning author Lacey Savage loves to write about her dreams -- or more specifically, she loves to breathe life into her steamy fantasies (and she's got plenty!). She pens erotic tales of true love and mythical destiny, peopled with strong alpha heroes and feisty heroines. A hopeless romantic, Lacey loves writing about the intimate, sensual side of relationships. She currently resides in Ottawa, Canada, with her loving husband and their mischievous cat."
48,Delia,Sherman,
49,Patricia,A. McKillip,"Patricia Anne McKillip was an American author of fantasy and science fiction. She wrote predominantly standalone fantasy novels and has been called ""one of the most accomplished prose stylists in the fantasy genre"". Her work won many awards, including the World Fantasy Award for Lifetime Achievement in 2008."
50,Anne,McCaffrey,"Anne Inez McCaffrey was an American writer known for the Dragonriders of Pern science fiction series. She was the first woman to win a Hugo Award for fiction (Best Novella, Weyr Search, 1968) and the first to win a Nebula Award (Best Novella, Dragonrider, 1969). Her 1978 novel The White Dragon became one of the first science-fiction books to appear on the  New York Times Best Seller list.In 2005 the Science Fiction and Fantasy Writers of America named McCaffrey its 22nd Grand Master, an annual award to living writers of fantasy and science fiction. She was inducted by the Science Fiction Hall of Fame on 17 June 2006. She also received the Robert A. Heinlein Award for her work in 2007."
51,Elizabeth,Ann Scarborough,"Elizabeth Ann Scarborough was born March 23, 1947, and lives in the Puget Sound area of Washington. Elizabeth won a Nebula Award in 1989 for her novel The Healer's War, and has written more than a dozen other novels. She has collaborated with Anne McCaffrey, best-known for creating the Dragonriders of Pern, to produce the Petaybee Series and the Acorna Series."
52,Zilpha,Keatley Snyder,"Zilpha Keatley Snyder was an American author of books for children and young adults. Three of Snyder's works were named Newbery Honor books: The Egypt Game, The Headless Cupid and The Witches of Worm. She was most famous for writing adventure stories and fantasies."
53,Alton,Raible,
54,Kate,Horsley,"Born in Richmond, Virginia, in 1952, Kate Horsley Parker, the youngest of five children, loved to read. Her mother, Alice Horsley Parker, inspired that love, which is part of the reason that she chose to write under her mother’s maiden name. In her mother’s world, young women were to be educated and refined and passionate. While in a private girl’s school in Virginia during the sixties, Horsley protested against the Vietnam War and worked in the Civil Rights movement. And then she went off to college and off to Paris for summer school. Every event in life was marked by a book, an almost prophetic glimpse into what would become a passion. After reading a book by Alan Watts, Horsley’s flirtation with Zen Buddhism became a lifelong fling. Flying to Paris, she read Black Elk Speaks, one of several works on or by Native Americans that inspired her to move to the West. It was her Masters Thesis work on Laguna Pueblo writer Leslie Silko that propelled her to travel to New Mexico where she has lived since 1977. She got a Ph.D. in American Studies from the University of New Mexico. The research she did on women in the American West inspired her to make novels out of the dimly known but awesome lives of ordinary people in extraordinary times. Horsley has been teaching college English in New Mexico for over twenty years and is involved in hospice work. Horsley dedicated her first published novel to her mother, and the other five to her son Aaron, who died at the age of eighteen in 2000."
55,Elaine,Cunningham,Librarian Note: There is more than one author in the GoodReads database with this name. See this thread for more information. Elaine Cunningham is an American fantasy author.
56,Philippa,Carr,"Eleanor Alice Burford, Mrs. George Percival Hibbert was a British author of about 200 historical novels, most of them under the pen name Jean Plaidy which had sold 14 million copies by the time of her death. She chose to use various names because of the differences in subject matter between her books; the best-known, apart from Plaidy, are Victoria Holt (56 million) and Philippa Carr (3 million). Lesser known were the novels Hibbert published under her maiden name Eleanor Burford, or the pseudonyms of Elbur Ford, Kathleen Kellow, Anna Percival and Ellalice Tate. Many of her readers under one penname never suspected her other identities.-Wikipedia"
57,Edward,P. Jones,
58,Kevin,R. Free,"Kevin R. Free has appeared on national television in commercials and on NBC’s Law & Orderand Law & Order: SVU. New York audiences have seen Mr. Free Off-Broadway, creating the role of Memphis in From My Hometown both for Amas Musical Theatre and at the Gramercy Theatre, for which he was nominated for an Audelco Award. He was also seen Off-Broadway at the York Theatre in Taking A Chance On Love, and as Bubber Brown in The New Federal Theatre’s acclaimed The Conjure Man Dies. He has been featured in concerts with the Arkansas Symphony Orchestra and with the education department of Symphony Space. Mr. Free has performed regionally in many places, including his home state of North Carolina at Charlotte Repertory Theatre (Belize in Angels in America, Paul in Six Degrees of Separation) and at the North Carolina Shakespeare Festival (Francis Flute in A Midsummer Night’s Dream, Ariel in The Tempest). Other favorite roles in the musical theatre include Dromio of Ephesus in The Boys From Syracuse at CENTERSTAGE, Nemur in Chasing Nicolette at Prince Music Theatre in Philadelphia,Milton in Avenue X at Cincinnati Playhouse in the Park, The Gift Guy in Adventures In Love at the Ordway in St. Paul, MN, and Flick in Violet at Stage One in Wichita, KS and at the Arden Theatre in Philadelphia, for which he was nominated for a Barrymore Award. Read more at: kevinfree.com"
59,Satyajit,Das,"Satyajit Das is an international specialist in the area of financial derivatives, risk management, and capital markets. He works as a consultant to banks and other financial institutions in Europe, North America, Asia and Australia providing advice on trading, pricing and risk management of derivative transactions. Das, as he likes to be called, is well known in Australia, Asia, South Africa and Europe as an expert in the field and recognised for his capacity to communicate complex financial subjects and trends in simple and non-technical language.Das was born in Calcutta, India in 1957 and now lives in Sydney. He holds Bachelors' degrees in Commerce (Accounting, Finance and Systems) and Law from the  University of New South Wales and a Masters degree in Business Administration from the Australian Graduate School of Management."
60,Mark,Smylie,"While The Barrow marks his first published prose novel, Mark Smylie has worked as a writer, illustrator, editor, and publisher for over a decade.His epic military fantasy comic book, Artesia, was first published by Sirius Entertainment in 1999, and then later by Archaia, a publishing company that he founded. He was nominated for the Russ Manning Award for Best Newcomer in 1999, and for an Eisner Award for Talent Deserving of Wider Recognition in 2001. His illustrations have appeared in works from Wizards of the Coast (for Dungeons & Dragons), White Wolf (for Vampire: The Masquerade and Werewolf: The Apocalypse), Brigand Publishing (for Avlis), Kobold Quarterly, and collectible card games from AEG (L5R and Warlords). He contributed a short story to the Eisner-Award winning Mouse Guard: Legends of the Guard anthology; designed and illustrated a roleplaying game based on Artesia that won the Origins Award for Role-Playing Game of 2006, three Indie RPG Awards, and was nominated for six ENnies; and contributed an essay on Artesia and religion to Graven Images: Religion in Comic Books & Graphic Novels, published by Continuum International Publishing."
61,John,McPhee,"John Angus McPhee is an American writer. He is considered one of the pioneers of creative nonfiction. He is a four-time finalist for the Pulitzer Prize in the category General Nonfiction, and he won that award on the fourth occasion in 1999 for Annals of the Former World (a collection of five books, including two of his previous Pulitzer finalists). In 2008, he received the George Polk Career Award for his ""indelible mark on American journalism during his nearly half-century career"". Since 1974, McPhee has been the Ferris Professor of Journalism at  Princeton University."
62,William,L. Howarth,
